Metadata
    Sounding ID                                  	799ae954-729e-4d18-be48-a1db9568abc0
    Release point latitude                       	34.045673°S
    Release point longitude                      	154.332962°E
    Release point height from sea level          	4 m
    Balloon release date and time                	2023-10-14T04:02:38
    Balloon release time                         	04:02:38
    Balloon release date                         	14/10/23
    Surface pressure                             	1012.79 hPa
    Surface temperature                          	19.80 °C
    Surface relative humidity                    	58.60 %
    Surface wind speed                           	22.30 m/s
    Surface wind direction                       	292.00°
    Sonde type                                   	RS41-SG
    Sonde serial number                          	V1030507
    System trademark and model                   	MW41
    Software version                             	MW41 2.4.0
    Sonde software version                       	2.2.15
    Comments                                     	
    STD level heights                            	114, 774, 1479, 3070, 5690, 7336, 9340, 10541, 11941, 13760, 16326, 18585, 20717, 23989, 26596
    P correction (Pref - P)                      	/////
    U correction (Uref1 - U1)                    	0.10 %Rh
    T difference (Tu - T)                        	0.01 °C 
    T in-built check air temperature             	22.39 °C
    Tu temperature                               	22.41 °C
    RS41 calculation version                     	1.7
    Uref1 humidity                               	0.00 %Rh
    Height and pressure in messages is based on  	GPS
    Station name                                 	VLMJ_YMC
    Reason for termination                       	IncreasingPressure
    Terminating altitude                         	28056 m
    Average ascent rate                          	4.8 m/s
    T difference (Tu - T)                        	0.01 °C 
    P correction (Pref - P)                      	/////
    U correction (Uref1 - U1)                    	0.10 %Rh
    Tracked satellite average count              	11.1
    Surface pressure                             	1012.00 hPa
    Surface temperature                          	19.80 °C
    Surface humidity                             	58.60 %Rh
    Surface wind direction                       	292.00°
    Surface wind speed                           	22.30 m/s
    STD level heights                            	114, 774, 1479, 3070, 5690, 7336, 9340, 10541, 11941, 13760, 16326, 18585, 20717, 23989, 26596
    T temperature                                	22.39 °C
    P pressure                                   	/////
    Ground check device                          	RI41
    Ground check device software version         	2.04
    Pref pressure                                	/////
    Tref temperature                             	/////
    Uref humidity                                	/////
    Uref1 humidity                               	0.00 %Rh
    Reason for sounding failure                  	/////
    Sounding status                              	Ok

Elapsed time,HeightMSL,      P, Temp,   RH, Dewp,  Dir,Speed,GpsHeightMSL,AscRate,     Pc,       Lat,       Lon, VirT,PotTemp,          KeyFlags
           s,        m,    hPa,   °C,    %,   °C,    °,  m/s,           m,    m/s,    hPa,         °,         °,   °C,     °C,                  
           0,        4,1012.79, 19.8,58.60, 11.5,292.0, 22.3,           4,    0.0,1012.79,-34.045673,154.332962, 21.3,   18.7,TUdfv             
           1,        9,1011.32, 20.5,58.89, 12.2,293.8, 11.6,          10,    7.7,1011.32,-34.046517,154.333851, 22.1,   19.5,                  
           4,       20,1010.95, 20.0,61.66, 12.4,299.5,  5.0,          18,    3.6,1010.95,-34.047155,154.334569, 21.6,   19.1,   fv     Pi      
           5,       26,1010.27, 19.9,63.04, 12.7,298.1,  6.1,          25,    5.6,1010.27,-34.047150,154.334567, 21.6,   19.1,                  
           6,       32,1009.55, 19.8,64.34, 12.9,297.2,  7.0,          32,    6.1,1009.55,-34.047148,154.334597, 21.5,   19.0,                  
           7,       38,1008.65, 19.7,64.03, 12.7,296.8,  7.7,          38,    5.8,1008.65,-34.047168,154.334677, 21.3,   18.9,                  
           8,       42,1008.07, 19.5,63.40, 12.4,296.6,  8.1,          43,    4.3,1008.07,-34.047210,154.334770, 21.1,   18.9,                  
           9,       45,1008.06, 19.4,63.28, 12.3,296.6,  8.4,          45,    3.1,1008.06,-34.047271,154.334853, 21.0,   18.7,                  
          10,       48,1007.76, 19.3,63.12, 12.1,296.5,  8.7,          48,    3.3,1007.76,-34.047332,154.334918, 20.9,   18.7,                  
          11,       53,1007.07, 19.2,63.28, 12.1,296.5,  9.0,          53,    4.6,1007.07,-34.047391,154.334989, 20.8,   18.7,                  
          12,       58,1006.28, 19.2,63.46, 12.1,296.5,  9.3,          59,    5.4,1006.28,-34.047439,154.335078, 20.8,   18.7,                  
          13,       64,1005.71, 19.1,63.40, 12.0,296.4,  9.6,          64,    5.3,1005.71,-34.047469,154.335188, 20.7,   18.7,                  
          14,       69,1005.21, 19.1,62.31, 11.7,296.4,  9.8,          69,    5.2,1005.21,-34.047487,154.335309, 20.6,   18.6,                  
          15,       74,1004.51, 18.9,60.01, 11.0,296.4, 10.0,          74,    5.3,1004.51,-34.047511,154.335427, 20.4,   18.5,                  
          16,       80,1003.90, 18.8,59.62, 10.8,296.4, 10.2,          80,    5.6,1003.90,-34.047552,154.335534, 20.2,   18.5,                  
          17,       86,1003.36, 18.8,60.08, 10.9,296.5, 10.4,          86,    6.1,1003.36,-34.047609,154.335635, 20.2,   18.5,                  
          18,       92,1002.33, 18.7,59.86, 10.8,296.5, 10.6,          93,    6.3,1002.33,-34.047665,154.335737, 20.1,   18.5,                  
          19,       98,1001.60, 18.6,59.89, 10.7,296.6, 10.7,          98,    5.6,1001.60,-34.047706,154.335845, 20.1,   18.5,                  
          20,      102,1001.16, 18.6,60.52, 10.8,296.6, 10.9,         102,    4.3,1001.16,-34.047738,154.335954, 20.1,   18.5,                  
          21,      106,1000.99, 18.6,60.57, 10.8,296.7, 11.0,         106,    3.9,1000.99,-34.047779,154.336064, 20.0,   18.5,                  
          22,      111,1000.50, 18.5,60.15, 10.6,296.8, 11.0,         110,    5.0,1000.50,-34.047831,154.336184, 19.9,   18.4,   fv             
          23,      117, 999.36, 18.4,60.12, 10.6,296.9, 11.1,         118,    6.3, 999.36,-34.047886,154.336312, 19.8,   18.5,                  
          24,      124, 998.63, 18.3,60.26, 10.5,297.0, 11.2,         124,    6.3, 998.63,-34.047934,154.336434, 19.8,   18.5,                  
          25,      130, 998.07, 18.3,60.28, 10.5,297.2, 11.2,         130,    5.6, 998.07,-34.047976,154.336534, 19.7,   18.5,                  
          26,      134, 997.51, 18.3,60.41, 10.5,297.3, 11.3,         135,    4.8, 997.51,-34.048023,154.336630, 19.7,   18.5,                  
          27,      139, 997.07, 18.2,60.51, 10.5,297.5, 11.3,         139,    4.3, 997.07,-34.048071,154.336740, 19.6,   18.5,                  
          28,      143, 996.53, 18.1,60.35, 10.4,297.7, 11.3,         143,    4.2, 996.53,-34.048115,154.336869, 19.5,   18.4,                  
          29,      147, 996.02, 18.1,60.24, 10.3,297.8, 11.3,         147,    4.4, 996.02,-34.048150,154.337001, 19.5,   18.4,                  
          30,      152, 995.55, 18.0,60.33, 10.3,298.0, 11.4,         152,    4.8, 995.55,-34.048181,154.337117, 19.4,   18.4,                  
          31,      157, 994.90, 18.0,60.52, 10.3,298.2, 11.4,         157,    5.3, 994.90,-34.048221,154.337215, 19.4,   18.4,                  
          32,      163, 994.12, 18.0,60.75, 10.3,298.4, 11.4,         163,    5.5, 994.12,-34.048276,154.337305, 19.4,   18.5,                  
          33,      168, 993.57, 17.9,60.93, 10.3,298.6, 11.4,         168,    5.3, 993.57,-34.048340,154.337402, 19.3,   18.5,                  
          34,      173, 993.10, 17.8,61.03, 10.3,298.8, 11.4,         173,    5.1, 993.10,-34.048400,154.337513, 19.2,   18.4,                  
          35,      178, 992.43, 17.8,61.13, 10.2,298.9, 11.4,         178,    5.4, 992.43,-34.048446,154.337633, 19.2,   18.4,          Pi      
          36,      184, 991.74, 17.7,61.20, 10.2,299.0, 11.4,         184,    5.5, 991.74,-34.048485,154.337761, 19.1,   18.4,          Pi      
          37,      190, 991.06, 17.7,61.29, 10.2,299.2, 11.4,         190,    5.5, 991.06,-34.048522,154.337883, 19.1,   18.4,                  
          38,      195, 990.50, 17.6,61.42, 10.2,299.3, 11.4,         195,    5.3, 990.50,-34.048564,154.337996, 19.0,   18.4,                  
          39,      200, 989.93, 17.6,61.67, 10.2,299.4, 11.4,         200,    5.2, 989.93,-34.048612,154.338106, 19.0,   18.4,                  
          40,      205, 989.29, 17.5,62.01, 10.2,299.6, 11.4,         205,    5.3, 989.29,-34.048664,154.338216, 18.9,   18.4,                  
          41,      211, 988.65, 17.5,62.43, 10.2,299.7, 11.4,         211,    5.4, 988.65,-34.048714,154.338323, 18.9,   18.4,                  
          42,      216, 988.04, 17.4,62.77, 10.3,299.8, 11.4,         216,    5.1, 988.04,-34.048767,154.338424, 18.8,   18.4,                  
          43,      221, 987.50, 17.4,63.00, 10.3,299.8, 11.5,         221,    4.8, 987.50,-34.048828,154.338522, 18.8,   18.5,                  
          44,      225, 986.95, 17.4,63.16, 10.3,299.9, 11.5,         225,    4.3, 986.95,-34.048898,154.338618, 18.8,   18.5,                  
          45,      229, 986.59, 17.3,63.52, 10.4,299.9, 11.5,         229,    4.0, 986.59,-34.048968,154.338710, 18.7,   18.4,                  
          46,      233, 986.09, 17.3,63.81, 10.4,299.9, 11.6,         233,    4.2, 986.09,-34.049029,154.338798, 18.7,   18.4,                  
          47,      238, 985.51, 17.2,63.98, 10.4,300.0, 11.6,         238,    4.6, 985.51,-34.049077,154.338888, 18.7,   18.5,                  
          48,      243, 984.92, 17.2,64.15, 10.4,300.0, 11.6,         243,    5.0, 984.92,-34.049112,154.338985, 18.6,   18.5,          PiTiUi  
          49,      248, 984.32, 17.2,64.31, 10.4,300.0, 11.6,         248,    5.4, 984.32,-34.049142,154.339090, 18.6,   18.5,          Pi      
          50,      254, 983.73, 17.1,64.41, 10.4,300.0, 11.7,         254,    5.7, 983.73,-34.049175,154.339200, 18.5,   18.5,                  
          51,      260, 982.91, 17.0,64.44, 10.3,299.9, 11.7,         260,    5.9, 982.91,-34.049219,154.339312, 18.5,   18.5,                  
          52,      266, 982.30, 17.0,64.43, 10.3,299.9, 11.8,         266,    5.6, 982.30,-34.049268,154.339418, 18.4,   18.5,                  
          53,      271, 981.72, 16.9,64.61, 10.2,299.9, 11.8,         271,    5.2, 981.72,-34.049315,154.339516, 18.3,   18.5,                  
          54,      276, 981.18, 16.9,64.92, 10.3,299.8, 11.8,         276,    5.0, 981.18,-34.049356,154.339614, 18.3,   18.5,                  
          55,      281, 980.64, 16.8,65.14, 10.3,299.8, 11.9,         281,    5.1, 980.64,-34.049395,154.339725, 18.2,   18.4,                  
          56,      286, 979.99, 16.8,65.31, 10.2,299.8, 11.9,         286,    5.5, 979.99,-34.049441,154.339853, 18.2,   18.4,                  
          57,      292, 979.25, 16.7,65.43, 10.2,299.8, 12.0,         292,    5.5, 979.25,-34.049501,154.339991, 18.1,   18.4,                  
          58,      297, 978.69, 16.6,65.57, 10.2,299.9, 12.0,         297,    5.2, 978.69,-34.049569,154.340123, 18.0,   18.4,                  
          59,      302, 978.15, 16.6,65.69, 10.2,299.9, 12.1,         302,    4.9, 978.15,-34.049637,154.340240, 18.0,   18.4,                  
          60,      307, 977.59, 16.6,65.81, 10.2,300.0, 12.1,         307,    4.9, 977.59,-34.049697,154.340344, 18.0,   18.4,                  
          61,      312, 977.04, 16.5,66.04, 10.2,300.0, 12.2,         312,    5.3, 977.04,-34.049745,154.340446, 17.9,   18.4,                  
          62,      318, 976.32, 16.5,66.36, 10.2,300.1, 12.2,         318,    5.9, 976.32,-34.049784,154.340557, 17.9,   18.5,                  
          63,      325, 975.56, 16.4,66.56, 10.2,300.2, 12.3,         325,    6.4, 975.56,-34.049826,154.340683, 17.8,   18.5,                  
          64,      331, 974.77, 16.4,66.67, 10.2,300.4, 12.3,         331,    6.4, 974.77,-34.049876,154.340816, 17.8,   18.5,                  
          65,      337, 974.08, 16.3,66.74, 10.1,300.5, 12.4,         337,    6.1, 974.08,-34.049938,154.340946, 17.7,   18.5,                  
          66,      343, 973.46, 16.2,66.86, 10.1,300.7, 12.4,         343,    5.9, 973.46,-34.050003,154.341064, 17.7,   18.5,                  
          67,      349, 972.79, 16.2,67.14, 10.1,300.9, 12.4,         349,    6.3, 972.79,-34.050064,154.341170, 17.6,   18.5,                  
          68,      356, 972.03, 16.1,67.42, 10.1,301.1, 12.4,         356,    7.1, 972.03,-34.050114,154.341273, 17.5,   18.5,                  
          69,      364, 971.08, 16.0,67.59, 10.1,301.3, 12.5,         364,    7.9, 971.08,-34.050159,154.341383, 17.4,   18.5,                  
          70,      372, 970.09, 16.0,67.77, 10.1,301.5, 12.5,         372,    8.0, 970.09,-34.050207,154.341508, 17.4,   18.5,                  
          71,      379, 969.12, 16.0,67.91, 10.1,301.7, 12.5,         380,    6.9, 969.12,-34.050262,154.341637, 17.4,   18.6,                  
          72,      384, 968.78, 15.9,68.12, 10.0,301.9, 12.5,         385,    5.3, 968.78,-34.050323,154.341759, 17.3,   18.5,                  
          73,      389, 968.24, 15.8,68.45, 10.1,302.1, 12.5,         389,    4.2, 968.24,-34.050388,154.341872, 17.2,   18.5,                  
          74,      392, 967.80, 15.8,68.66, 10.0,302.3, 12.5,         392,    3.8, 967.80,-34.050450,154.341979, 17.2,   18.5,                  
          75,      397, 967.42, 15.7,68.68, 10.0,302.5, 12.5,         396,    4.2, 967.42,-34.050507,154.342091, 17.1,   18.5,                  
          76,      402, 966.84, 15.6,68.81, 10.0,302.6, 12.5,         401,    5.2, 966.84,-34.050565,154.342213, 17.0,   18.5,          Pi      
          77,      408, 966.26, 15.6,69.14, 10.0,302.7, 12.5,         407,    6.3, 966.26,-34.050629,154.342343, 17.0,   18.5,                  
          78,      415, 965.26, 15.6,69.59, 10.0,302.8, 12.4,         415,    7.1, 965.26,-34.050705,154.342479, 17.0,   18.5,                  
          79,      421, 964.07, 15.5,70.07, 10.1,303.0, 12.4,         423,    6.1, 964.07,-34.050787,154.342612, 16.9,   18.6,                  
          80,      425, 964.03, 15.5,70.48, 10.2,303.1, 12.4,         425,    3.7, 964.03,-34.050866,154.342732, 16.9,   18.5,                  
          81,      427, 964.01, 15.4,70.99, 10.2,303.2, 12.4,         427,    2.4, 964.01,-34.050943,154.342837, 16.8,   18.5,                  
          82,      431, 963.61, 15.4,71.48, 10.3,303.3, 12.3,         430,    3.3, 963.61,-34.051019,154.342929, 16.8,   18.5,                  
          83,      436, 962.97, 15.3,71.76, 10.3,303.4, 12.3,         435,    5.2, 962.97,-34.051087,154.343014, 16.8,   18.5,                  
          84,      443, 962.17, 15.3,71.93, 10.3,303.4, 12.3,         442,    6.7, 962.17,-34.051148,154.343100, 16.7,   18.5,                  
          85,      450, 961.21, 15.2,72.04, 10.2,303.4, 12.2,         450,    7.1, 961.21,-34.051199,154.343196, 16.6,   18.5,                  
          86,      456, 960.28, 15.2,72.12, 10.2,303.4, 12.2,         457,    6.0, 960.28,-34.051246,154.343304, 16.6,   18.5,                  
          87,      460, 960.23, 15.1,72.14, 10.1,303.4, 12.1,         460,    4.2, 960.23,-34.051295,154.343421, 16.5,   18.5,                  
          88,      464, 959.89, 15.1,72.28, 10.1,303.4, 12.1,         464,    3.8, 959.89,-34.051354,154.343542, 16.5,   18.5,                  
          89,      468, 959.12, 15.0,72.53, 10.1,303.4, 12.0,         468,    4.5, 959.12,-34.051423,154.343658, 16.4,   18.5,                  
          90,      473, 958.55, 14.9,72.70, 10.1,303.3, 12.0,         473,    5.0, 958.55,-34.051493,154.343763, 16.3,   18.5,                  
          91,      479, 958.09, 14.9,72.79, 10.0,303.3, 12.0,         479,    5.6, 958.09,-34.051555,154.343860, 16.3,   18.4,                  
          92,      486, 957.32, 14.8,72.89, 10.0,303.2, 11.9,         485,    6.6, 957.32,-34.051606,154.343959, 16.2,   18.4,                  
          93,      493, 956.42, 14.7,73.03, 10.0,303.1, 11.9,         493,    7.4, 956.42,-34.051649,154.344066, 16.1,   18.4,                  
          94,      500, 955.51, 14.7,73.20,  9.9,303.1, 11.8,         501,    7.4, 955.51,-34.051691,154.344185, 16.1,   18.5,                  
          95,      507, 954.73, 14.6,73.29,  9.9,303.0, 11.8,         507,    6.8, 954.73,-34.051739,154.344308, 16.0,   18.5,                  
          96,      513, 954.15, 14.6,73.41,  9.9,303.0, 11.7,         513,    5.8, 954.15,-34.051796,154.344429, 16.0,   18.5,                  
          97,      518, 953.61, 14.5,73.71,  9.9,302.9, 11.7,         518,    5.2, 953.61,-34.051859,154.344540, 15.9,   18.5,                  
          98,      523, 953.01, 14.5,74.26, 10.0,302.9, 11.7,         523,    5.1, 953.01,-34.051924,154.344641, 15.9,   18.5,                  
          99,      528, 952.39, 14.4,74.83, 10.0,302.8, 11.6,         528,    5.1, 952.39,-34.051983,154.344736, 15.8,   18.5,                  
         100,      534, 951.86, 14.4,75.07, 10.0,302.8, 11.6,         533,    5.3, 951.86,-34.052036,154.344831, 15.8,   18.5,                  
         101,      539, 951.23, 14.3,75.15, 10.0,302.8, 11.6,         539,    5.7, 951.23,-34.052086,154.344932, 15.7,   18.5,                  
         102,      545, 950.47, 14.2,75.29,  9.9,302.7, 11.5,         545,    6.0, 950.47,-34.052139,154.345040, 15.7,   18.5,                  
         103,      551, 949.81, 14.2,75.55,  9.9,302.7, 11.5,         551,    5.9, 949.81,-34.052196,154.345149, 15.6,   18.5,                  
         104,      557, 949.24, 14.1,75.77,  9.9,302.8, 11.5,         557,    5.8, 949.24,-34.052255,154.345255, 15.5,   18.5,                  
         105,      563, 948.58, 14.1,75.98,  9.9,302.8, 11.4,         563,    5.7, 948.58,-34.052312,154.345354, 15.5,   18.5,                  
         106,      568, 947.90, 14.0,76.23,  9.9,302.8, 11.4,         568,    5.5, 947.90,-34.052365,154.345450, 15.4,   18.5,                  
         107,      573, 947.29, 14.0,76.53,  9.9,302.8, 11.4,         573,    5.1, 947.29,-34.052411,154.345549, 15.4,   18.5,                  
         108,      578, 946.88, 13.9,76.92, 10.0,302.9, 11.3,         578,    4.9, 946.88,-34.052455,154.345656, 15.3,   18.5,                  
         109,      583, 946.31, 13.9,77.27, 10.0,302.9, 11.3,         583,    5.3, 946.31,-34.052506,154.345770, 15.3,   18.5,                  
         110,      590, 945.55, 13.8,77.61, 10.0,303.0, 11.3,         589,    6.1, 945.55,-34.052567,154.345885, 15.2,   18.5,                  
         111,      596, 944.83, 13.8,77.94, 10.0,303.0, 11.2,         596,    6.4, 944.83,-34.052637,154.345994, 15.2,   18.5,                  
         112,      602, 944.09, 13.7,78.01, 10.0,303.0, 11.2,         602,    6.3, 944.09,-34.052711,154.346096, 15.1,   18.5,                  
         113,      608, 943.37, 13.7,77.89,  9.9,303.1, 11.2,         608,    5.8, 943.37,-34.052780,154.346191, 15.1,   18.5,                  
         114,      613, 942.90, 13.6,77.73,  9.8,303.1, 11.1,         613,    5.1, 942.90,-34.052840,154.346283, 15.0,   18.5,                  
         115,      618, 942.46, 13.5,77.68,  9.7,303.1, 11.1,         618,    4.9, 942.46,-34.052891,154.346379, 14.9,   18.5,                  
         116,      623, 941.81, 13.5,78.00,  9.7,303.2, 11.1,         623,    5.3, 941.81,-34.052939,154.346481, 14.9,   18.5,                  
         117,      629, 941.07, 13.4,78.37,  9.8,303.2, 11.0,         629,    5.5, 941.07,-34.052987,154.346590, 14.8,   18.5,                  
         118,      634, 940.54, 13.4,78.55,  9.7,303.2, 11.0,         634,    5.2, 940.54,-34.053038,154.346698, 14.8,   18.5,                  
         119,      639, 940.07, 13.3,78.69,  9.7,303.3, 11.0,         639,    4.8, 940.07,-34.053089,154.346801, 14.8,   18.5,                  
         120,      643, 939.52, 13.3,79.07,  9.8,303.3, 11.0,         643,    4.7, 939.52,-34.053140,154.346894, 14.7,   18.5,                  
         121,      648, 938.96, 13.2,79.62,  9.8,303.3, 11.0,         648,    4.7, 938.96,-34.053188,154.346979, 14.7,   18.5,                  
         122,      653, 938.42, 13.2,80.04,  9.8,303.3, 11.0,         653,    5.0, 938.42,-34.053235,154.347063, 14.6,   18.5,                  
         123,      659, 937.94, 13.1,80.28,  9.8,303.3, 10.9,         658,    5.5, 937.94,-34.053283,154.347152, 14.5,   18.4,                  
         124,      665, 937.18, 13.1,80.62,  9.8,303.3, 10.9,         665,    6.4, 937.18,-34.053337,154.347250, 14.5,   18.5,                  
         125,      672, 936.27, 13.0,80.87,  9.8,303.2, 11.0,         672,    6.9, 936.27,-34.053397,154.347355, 14.4,   18.5,                  
         126,      678, 935.55, 13.0,80.94,  9.8,303.2, 11.0,         679,    6.5, 935.55,-34.053456,154.347463, 14.4,   18.5,                  
         127,      684, 934.97, 12.9,81.05,  9.7,303.2, 11.0,         684,    5.9, 934.97,-34.053511,154.347568, 14.3,   18.5,                  
         128,      690, 934.40, 12.9,81.20,  9.7,303.2, 11.0,         690,    5.5, 934.40,-34.053562,154.347665, 14.3,   18.5,                  
         129,      695, 933.77, 12.8,81.53,  9.7,303.2, 11.0,         695,    5.6, 933.77,-34.053612,154.347755, 14.2,   18.5,                  
         130,      701, 933.10, 12.7,82.07,  9.8,303.2, 11.1,         701,    5.9, 933.10,-34.053666,154.347842, 14.2,   18.5,                  
         131,      707, 932.40, 12.7,82.46,  9.8,303.1, 11.1,         707,    6.0, 932.40,-34.053723,154.347930, 14.1,   18.5,                  
         132,      713, 931.77, 12.6,82.54,  9.7,303.1, 11.2,         713,    5.9, 931.77,-34.053781,154.348022, 14.0,   18.5,                  
         133,      719, 931.15, 12.6,82.56,  9.7,303.1, 11.2,         719,    5.8, 931.15,-34.053838,154.348117, 14.0,   18.5,                  
         134,      725, 930.52, 12.5,82.62,  9.6,303.1, 11.3,         725,    5.7, 930.52,-34.053894,154.348212, 13.9,   18.5,                  
         135,      730, 929.93, 12.4,82.83,  9.6,303.1, 11.4,         730,    5.4, 929.93,-34.053950,154.348307, 13.9,   18.5,                  
         136,      735, 929.33, 12.4,83.03,  9.6,303.1, 11.4,         735,    5.0, 929.33,-34.054008,154.348403, 13.8,   18.5,                  
         137,      739, 928.77, 12.4,83.04,  9.6,303.2, 11.5,         740,    4.4, 928.77,-34.054066,154.348502, 13.8,   18.5,                  
         138,      743, 928.48, 12.3,83.22,  9.6,303.2, 11.6,         743,    3.7, 928.48,-34.054121,154.348607, 13.7,   18.5,                  
         139,      747, 928.11, 12.3,83.75,  9.6,303.2, 11.7,         747,    3.6, 928.11,-34.054171,154.348715, 13.7,   18.5,                  
         140,      751, 927.65, 12.2,84.28,  9.7,303.2, 11.7,         750,    4.0, 927.65,-34.054218,154.348826, 13.7,   18.5,                  
         141,      755, 927.16, 12.2,84.61,  9.7,303.3, 11.8,         755,    4.5, 927.16,-34.054262,154.348940, 13.6,   18.5,                  
         142,      760, 926.55, 12.2,84.87,  9.7,303.3, 11.9,         760,    4.7, 926.55,-34.054308,154.349057, 13.6,   18.5,                  
         143,      764, 926.10, 12.1,84.99,  9.7,303.4, 12.0,         764,    4.5, 926.10,-34.054358,154.349177, 13.5,   18.5,                  
         144,      769, 925.64, 12.1,85.16,  9.6,303.4, 12.1,         769,    4.4, 925.64,-34.054413,154.349301, 13.5,   18.5,                  
         145,      773, 925.07, 12.0,85.45,  9.7,303.5, 12.2,         773,    4.4, 925.07,-34.054475,154.349426, 13.4,   18.5,                  
         146,      778, 924.69, 12.0,85.55,  9.6,303.5, 12.3,         777,    4.6, 924.69,-34.054543,154.349548, 13.4,   18.5,                  
         147,      783, 924.15, 11.9,85.55,  9.6,303.6, 12.4,         783,    5.1, 924.15,-34.054618,154.349664, 13.3,   18.5,                  
         148,      789, 923.41, 11.9,85.76,  9.6,303.7, 12.5,         789,    5.7, 923.41,-34.054696,154.349770, 13.3,   18.5,                  
         149,      794, 922.78, 11.8,85.86,  9.6,303.8, 12.5,         794,    5.8, 922.78,-34.054774,154.349868, 13.2,   18.5,                  
         150,      800, 922.21, 11.8,85.84,  9.5,303.9, 12.6,         800,    5.4, 922.21,-34.054849,154.349963, 13.2,   18.5,                  
         151,      805, 921.62, 11.7,85.92,  9.5,304.0, 12.7,         805,    4.8, 921.62,-34.054920,154.350061, 13.1,   18.5,                  
         152,      809, 921.20, 11.7,86.08,  9.5,304.1, 12.8,         809,    4.0, 921.20,-34.054985,154.350167, 13.1,   18.5,                  
         153,      812, 920.87, 11.6,86.43,  9.5,304.2, 12.9,         812,    3.4, 920.87,-34.055047,154.350282, 13.1,   18.5,                  
         154,      815, 920.50, 11.6,87.13,  9.5,304.3, 13.0,         815,    3.2, 920.50,-34.055107,154.350404, 13.0,   18.4,                  
         155,      819, 920.13, 11.6,87.87,  9.6,304.4, 13.0,         819,    3.6, 920.13,-34.055167,154.350532, 13.0,   18.4,                  
         156,      823, 919.71, 11.5,88.38,  9.7,304.5, 13.1,         823,    4.4, 919.71,-34.055228,154.350664, 12.9,   18.4,                  
         157,      829, 919.05, 11.5,88.77,  9.7,304.6, 13.2,         828,    5.5, 919.05,-34.055293,154.350799, 12.9,   18.5,                  
         158,      835, 918.32, 11.5,88.75,  9.7,304.7, 13.3,         835,    6.1, 918.32,-34.055360,154.350931, 12.9,   18.5,                  
         159,      841, 917.65, 11.4,88.58,  9.6,304.8, 13.3,         841,    6.1, 917.65,-34.055428,154.351058, 12.8,   18.5,                  
         160,      847, 917.02, 11.3,88.70,  9.6,304.9, 13.4,         847,    5.9, 917.02,-34.055494,154.351177, 12.8,   18.5,                  
         161,      852, 916.43, 11.3,89.02,  9.6,304.9, 13.5,         852,    5.6, 916.43,-34.055558,154.351288, 12.7,   18.5,                  
         162,      858, 915.87, 11.2,89.36,  9.6,305.0, 13.6,         858,    5.4, 915.87,-34.055621,154.351396, 12.7,   18.5,                  
         163,      863, 915.25, 11.2,89.79,  9.6,305.1, 13.6,         863,    5.4, 915.25,-34.055687,154.351507, 12.6,   18.5,                  
         164,      868, 914.65, 11.1,90.18,  9.6,305.1, 13.7,         869,    5.1, 914.65,-34.055757,154.351619, 12.6,   18.5,                  
         165,      873, 914.10, 11.1,90.32,  9.6,305.2, 13.8,         873,    4.7, 914.10,-34.055831,154.351733, 12.5,   18.5,                  
         166,      877, 913.71, 11.1,90.32,  9.5,305.2, 13.8,         877,    4.4, 913.71,-34.055905,154.351846, 12.5,   18.5,                  
         167,      882, 913.29, 11.0,90.23,  9.5,305.2, 13.9,         882,    4.5, 913.29,-34.055978,154.351958, 12.4,   18.5,                  
         168,      887, 912.70, 10.9,89.72,  9.3,305.2, 13.9,         887,    5.0, 912.70,-34.056050,154.352074, 12.3,   18.5,                  
         169,      892, 912.00, 10.9,88.76,  9.1,305.2, 14.0,         892,    5.1, 912.00,-34.056121,154.352196, 12.3,   18.5,                  
         170,      897, 911.50, 10.9,86.84,  8.8,305.2, 14.0,         897,    4.5, 911.50,-34.056195,154.352323, 12.2,   18.5,TU                
         171,      900, 911.22, 10.9,83.50,  8.3,305.2, 14.0,         900,    3.9, 911.22,-34.056274,154.352454, 12.2,   18.6,                  
         172,      904, 910.85, 11.0,80.53,  7.8,305.2, 14.0,         904,    3.9, 910.85,-34.056359,154.352584, 12.3,   18.7,                  
         173,      909, 910.28, 11.1,79.62,  7.7,305.2, 14.0,         909,    4.3, 910.28,-34.056451,154.352712, 12.3,   18.8,  dfv             
         174,      913, 909.75, 11.1,78.59,  7.5,305.2, 14.0,         913,    4.3, 909.75,-34.056542,154.352840, 12.3,   18.9,                  
         175,      917, 909.34, 11.1,75.99,  7.1,305.2, 14.0,         917,    3.8, 909.34,-34.056630,154.352971, 12.3,   19.0,                  
         176,      920, 909.04, 11.2,74.20,  6.7,305.2, 14.0,         920,    3.3, 909.04,-34.056714,154.353106, 12.3,   19.0,                  
         177,      923, 908.71, 11.2,72.11,  6.3,305.2, 14.0,         923,    3.3, 908.71,-34.056794,154.353245, 12.3,   19.1,                  
         178,      927, 908.29, 11.2,68.51,  5.7,305.2, 13.9,         927,    3.8, 908.29,-34.056871,154.353385, 12.3,   19.2,                  
         179,      932, 907.81, 11.4,63.52,  4.7,305.1, 13.9,         931,    4.3, 907.81,-34.056944,154.353524, 12.4,   19.4,                  
         180,      936, 907.30, 11.6,56.82,  3.4,305.1, 13.8,         936,    4.7, 907.30,-34.057016,154.353659, 12.6,   19.7,                  
         181,      941, 906.77, 11.9,52.41,  2.5,305.1, 13.7,         941,    4.7, 906.77,-34.057086,154.353791, 12.8,   20.0,                  
